UNIVERSIDAD_NOMBRE,CARRERA_NOMBRE,CARRERA_MODALIDAD,MALLA_TIPO,PERFIL_EGRESO,PERIODO_CICLO,ASIGNATURA_NOMBRE,ASIGNATURA_CODIGO,ASIGNATURA_TIPO,ASIGNATURA_HORAS,ASIGNATURA_CREDITOS,URL
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",3,Emprendimiento Empresarial,CONH11,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",3,Ética Profesional,CONH12,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",3,Contabilidad de Costos I,CONH13,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",4,"Realidad Socioeconómica, Cultural y Ecológica del Ecuador",CONH14,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",4,Fundamentos de Auditoría,CONH15,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",4,Legislación Tributaria,CONH16,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",4,Finanzas Básicas y Fundamentos del Presupuesto,CONH17,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",4,Contabilidad de Costos II,CONH18,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",5,Administración Presupuestaria,CONH19,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",5,Planificación y Dirección Estratégica,CONH20,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",5,Planificación de Auditoría,CONH21,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",5,Aplicación Tributaria,CONH22,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",5,Comunicación y Lenguaje,CONH23,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",5,Contabilidad Intermedia,CONH24,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",5,Contabilidad Superior,CONH25,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",6,Talento Humano,CONH26,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",6,Auditoría Tributaria,CONH27,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",6,Auditoría Financiera,CONH28,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",6,Gestión de Costos,CONH29,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",6,Investigación de Ciencias Contables,CONH30,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",7,Análisis Financiero,CONH31,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",7,Auditoría Gubernamental,CONH32,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",7,Contabilidad Especializada,CONH33,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",7,Formulación y Evaluación de Proyectos,CONH34,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",7,Seminario de Titulación,CONH35,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",7,Auditoría Ambiental,CONH36,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",8,Desarrollo del Trabajo de Titulación,CONH37,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",8,Finanzas Corporativas,CONH38,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",8,Auditoría de Gestión,CONH39,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",8,Auditoría Forense,CONH40,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",8,Auditoría de la Calidad,CONH41,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",8,Contabilidad Gubernamental,CONH42,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
